timestamp_ms,term,latency_ms,cpu_percent,used_memory_mb,total_memory_mb
1761608146137,war,30610.773,50.00,17.04,4294.97
1761608146137,love,30612.101,37.72,17.04,4294.97
1761608146138,book,30613.002,50.32,17.04,4294.97
1761608146139,love,30612.142,208.33,17.04,4294.97
1761608146139,war,30612.211,34.26,17.04,4294.97
1761608146142,death,30616.256,28.07,17.34,4294.97
1761608146142,book,30616.047,120.00,17.34,4294.97
1761608176754,science,30616.269,0.04,18.76,4294.97
1761608176756,love,30615.618,42.21,18.76,4294.97
1761608176757,war,30619.330,33.38,18.76,4294.97
1761608176758,book,30614.843,47.68,18.76,4294.97
1761608176758,death,30616.250,43.49,18.76,4294.97
1761608176760,war,30613.883,52.08,18.76,4294.97
1761608176761,science,30617.178,32.05,18.76,4294.97
1761608176762,death,30613.375,31.81,18.76,4294.97
1761608207371,death,30611.630,0.04,19.31,4294.97
1761608207372,love,30616.722,27.11,19.31,4294.97
1761608207373,science,30613.871,42.52,19.31,4294.97
1761608207374,book,30614.458,46.43,19.31,4294.97
1761608207374,love,30610.422,49.57,19.31,4294.97
1761608207375,war,30611.201,45.39,19.31,4294.97
1761608207383,book,30621.212,8.83,19.33,4294.97
1761608238002,war,30614.789,0.04,19.64,4294.97
1761608238005,love,30618.221,21.95,19.64,4294.97
1761608238006,science,30619.200,45.82,19.64,4294.97
1761608238007,science,30620.758,37.84,19.64,4294.97
1761608238008,death,30618.448,37.46,19.64,4294.97
1761608238009,death,30621.133,41.92,19.64,4294.97
1761608238010,war,30619.986,49.74,19.64,4294.97
1761608238011,book,30619.895,41.08,19.64,4294.97
1761608268625,love,30621.650,0.04,20.56,4294.97
1761608268627,science,30614.816,47.61,20.96,4294.97
1761608268627,book,30621.130,25.46,20.96,4294.97
1761608268628,book,30615.304,42.91,20.88,4294.97
1761608268629,love,30617.606,55.61,20.96,4294.97
1761608268632,science,30620.050,44.66,20.96,4294.97
1761608268634,war,30618.306,41.14,20.96,4294.97
1761608268635,death,30618.874,48.02,20.96,4294.97
1761608299252,book,30622.133,0.05,21.65,4294.97
1761608299253,war,30618.692,42.70,21.65,4294.97
1761608299254,war,30624.995,54.41,21.65,4294.97
1761608299254,death,30625.504,39.88,21.65,4294.97
1761608299255,science,30623.339,0.00,21.67,4294.97
1761608299255,love,30625.152,51.95,21.67,4294.97
1761608299255,death,30620.655,39.41,21.65,4294.97
1761608329871,death,30613.606,0.05,23.20,4294.97
1761608329873,book,30616.584,15.50,23.20,4294.97
1761608329874,science,30616.927,32.27,23.20,4294.97
1761608329875,love,30616.292,162.50,23.20,4294.97
1761608329877,war,30619.746,39.67,23.51,4294.97
1761608329884,science,30625.813,13.05,23.51,4294.97
1761608329885,book,30626.908,43.06,23.51,4294.97
1761608329885,love,30627.687,25.52,23.51,4294.97
1761608360492,war,30617.502,0.04,23.59,4294.97
1761608360494,death,30620.277,30.67,23.59,4294.97
1761608360495,love,30617.959,-1.00,23.59,4294.97
1761608360499,book,30616.880,38.20,23.59,4294.97
1761608360501,science,30614.436,32.93,23.59,4294.97
1761608360510,war,30624.919,525.00,23.66,4294.97
1761608360511,death,30625.597,31.77,23.66,4294.97
1761608360511,love,30624.150,26.21,23.66,4294.97
1761608391114,death,30616.211,0.06,24.29,4294.97
1761608391117,science,30622.591,6.90,24.29,4294.97
1761608391118,book,30623.376,40.95,24.29,4294.97
1761608391119,war,30619.310,15.77,24.29,4294.97
1761608391119,love,30617.545,34.68,24.29,4294.97
1761608391124,book,30613.348,4.47,24.29,4294.97
1761608391136,science,30624.145,1.27,24.29,4294.97
1761608421759,love,30620.697,418.75,25.47,4294.97
1761608421760,love,30620.836,37.05,25.47,4294.97
1761608421760,death,30621.422,28.46,25.47,4294.97
1761608421761,war,30620.700,89.96,25.47,4294.97
